s,a,s_prime,r,p
"(np.int64(0), np.int64(10))",LEFT,"(0, 10)",0,0.8
"(np.int64(0), np.int64(10))",LEFT,"(0, 10)",0,0.1
"(np.int64(0), np.int64(10))",LEFT,"(0, 9)",0,0.1
"(np.int64(0), np.int64(10))",RIGHT,"(1, 10)",0,0.8
"(np.int64(0), np.int64(10))",RIGHT,"(0, 10)",0,0.1
"(np.int64(0), np.int64(10))",RIGHT,"(0, 9)",0,0.1
"(np.int64(0), np.int64(10))",DOWN,"(0, 9)",0,0.8
"(np.int64(0), np.int64(10))",DOWN,"(0, 10)",0,0.1
"(np.int64(0), np.int64(10))",DOWN,"(1, 10)",0,0.1
"(np.int64(0), np.int64(10))",UP,"(0, 10)",0,0.8
"(np.int64(0), np.int64(10))",UP,"(0, 10)",0,0.1
"(np.int64(0), np.int64(10))",UP,"(1, 10)",0,0.1
"(np.int64(1), np.int64(10))",LEFT,"(0, 10)",0,0.8
"(np.int64(1), np.int64(10))",LEFT,"(1, 10)",0,0.1
"(np.int64(1), np.int64(10))",LEFT,"(1, 9)",0,0.1
"(np.int64(1), np.int64(10))",RIGHT,"(2, 10)",0,0.8
"(np.int64(1), np.int64(10))",RIGHT,"(1, 10)",0,0.1
"(np.int64(1), np.int64(10))",RIGHT,"(1, 9)",0,0.1
"(np.int64(1), np.int64(10))",DOWN,"(1, 9)",0,0.8
"(np.int64(1), np.int64(10))",DOWN,"(0, 10)",0,0.1
"(np.int64(1), np.int64(10))",DOWN,"(2, 10)",0,0.1
"(np.int64(1), np.int64(10))",UP,"(1, 10)",0,0.8
"(np.int64(1), np.int64(10))",UP,"(0, 10)",0,0.1
"(np.int64(1), np.int64(10))",UP,"(2, 10)",0,0.1
"(np.int64(2), np.int64(10))",LEFT,"(1, 10)",0,0.8
"(np.int64(2), np.int64(10))",LEFT,"(2, 10)",0,0.1
"(np.int64(2), np.int64(10))",LEFT,"(2, 9)",0,0.1
"(np.int64(2), np.int64(10))",RIGHT,"(3, 10)",0,0.8
"(np.int64(2), np.int64(10))",RIGHT,"(2, 10)",0,0.1
